01:32:40,831 INFO SeBS-6b5f: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/640.video-processing-otel
01:32:41,157 INFO OpenWhisk.Resources-6348: Using user-provided configuration of storage for OpenWhisk.
01:32:41,158 INFO OpenWhisk-cf5b: Using existing resource name: fd5e1ae0.
01:32:41,160 INFO Benchmark-726d: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
02:15:33,827 INFO Experiment.PerfCost-3479: Processed 1830 samples out of 10000, 0 errors
02:15:47,589 INFO Experiment.PerfCost-3479: Processed 1840 samples out of 10000, 0 errors
02:16:01,383 INFO Experiment.PerfCost-3479: Processed 1850 samples out of 10000, 0 errors
02:16:15,105 INFO Experiment.PerfCost-3479: Processed 1860 samples out of 10000, 0 errors
02:16:28,856 INFO Experiment.PerfCost-3479: Processed 1870 samples out of 10000, 0 errors
02:16:42,628 INFO Experiment.PerfCost-3479: Processed 1880 samples out of 10000, 0 errors
02:16:57,353 INFO Experiment.PerfCost-3479: Processed 1890 samples out of 10000, 0 errors
02:17:11,118 INFO Experiment.PerfCost-3479: Processed 1900 samples out of 10000, 0 errors
02:17:24,904 INFO Experiment.PerfCost-3479: Processed 1910 samples out of 10000, 0 errors
02:17:39,428 INFO Experiment.PerfCost-3479: Processed 1920 samples out of 10000, 0 errors
02:17:53,159 INFO Experiment.PerfCost-3479: Processed 1930 samples out of 10000, 0 errors
02:18:07,890 INFO Experiment.PerfCost-3479: Processed 1940 samples out of 10000, 0 errors
02:18:21,680 INFO Experiment.PerfCost-3479: Processed 1950 samples out of 10000, 0 errors
02:18:36,343 INFO Experiment.PerfCost-3479: Processed 1960 samples out of 10000, 0 errors
02:18:50,169 INFO Experiment.PerfCost-3479: Processed 1970 samples out of 10000, 0 errors
02:19:03,918 INFO Experiment.PerfCost-3479: Processed 1980 samples out of 10000, 0 errors
02:19:17,705 INFO Experiment.PerfCost-3479: Processed 1990 samples out of 10000, 0 errors
02:19:32,210 INFO Experiment.PerfCost-3479: Processed 2000 samples out of 10000, 0 errors
02:19:45,969 INFO Experiment.PerfCost-3479: Processed 2010 samples out of 10000, 0 errors
02:19:59,730 INFO Experiment.PerfCost-3479: Processed 2020 samples out of 10000, 0 errors
02:20:13,472 INFO Experiment.PerfCost-3479: Processed 2030 samples out of 10000, 0 errors
02:20:25,754 INFO Experiment.PerfCost-3479: Processed 2040 samples out of 10000, 0 errors
02:20:39,507 INFO Experiment.PerfCost-3479: Processed 2050 samples out of 10000, 0 errors
02:20:53,279 INFO Experiment.PerfCost-3479: Processed 2060 samples out of 10000, 0 errors
02:21:07,33 INFO Experiment.PerfCost-3479: Processed 2070 samples out of 10000, 0 errors
02:21:20,794 INFO Experiment.PerfCost-3479: Processed 2080 samples out of 10000, 0 errors
02:21:34,514 INFO Experiment.PerfCost-3479: Processed 2090 samples out of 10000, 0 errors
