22:39:52,480 INFO SeBS-1771: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/630.thumbnailer-otel
22:39:52,835 INFO OpenWhisk.Resources-c972: Using user-provided configuration of storage for OpenWhisk.
22:39:52,836 INFO OpenWhisk-685d: Using existing resource name: fd5e1ae0.
22:39:52,838 INFO Benchmark-27df: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
23:12:08,852 INFO Experiment.PerfCost-3e8c: Processed 1860 samples out of 10000, 0 errors
23:12:19,183 INFO Experiment.PerfCost-3e8c: Processed 1870 samples out of 10000, 0 errors
23:12:29,522 INFO Experiment.PerfCost-3e8c: Processed 1880 samples out of 10000, 0 errors
23:12:39,849 INFO Experiment.PerfCost-3e8c: Processed 1890 samples out of 10000, 0 errors
23:12:50,189 INFO Experiment.PerfCost-3e8c: Processed 1900 samples out of 10000, 0 errors
23:13:00,528 INFO Experiment.PerfCost-3e8c: Processed 1910 samples out of 10000, 0 errors
23:13:10,860 INFO Experiment.PerfCost-3e8c: Processed 1920 samples out of 10000, 0 errors
23:13:21,187 INFO Experiment.PerfCost-3e8c: Processed 1930 samples out of 10000, 0 errors
23:13:31,517 INFO Experiment.PerfCost-3e8c: Processed 1940 samples out of 10000, 0 errors
23:13:41,882 INFO Experiment.PerfCost-3e8c: Processed 1950 samples out of 10000, 0 errors
23:13:52,215 INFO Experiment.PerfCost-3e8c: Processed 1960 samples out of 10000, 0 errors
23:14:02,563 INFO Experiment.PerfCost-3e8c: Processed 1970 samples out of 10000, 0 errors
23:14:12,889 INFO Experiment.PerfCost-3e8c: Processed 1980 samples out of 10000, 0 errors
23:14:23,220 INFO Experiment.PerfCost-3e8c: Processed 1990 samples out of 10000, 0 errors
23:14:33,530 INFO Experiment.PerfCost-3e8c: Processed 2000 samples out of 10000, 0 errors
23:14:43,896 INFO Experiment.PerfCost-3e8c: Processed 2010 samples out of 10000, 0 errors
23:14:54,226 INFO Experiment.PerfCost-3e8c: Processed 2020 samples out of 10000, 0 errors
23:15:04,575 INFO Experiment.PerfCost-3e8c: Processed 2030 samples out of 10000, 0 errors
23:15:14,940 INFO Experiment.PerfCost-3e8c: Processed 2040 samples out of 10000, 0 errors
23:15:25,267 INFO Experiment.PerfCost-3e8c: Processed 2050 samples out of 10000, 0 errors
23:15:35,592 INFO Experiment.PerfCost-3e8c: Processed 2060 samples out of 10000, 0 errors
23:15:45,918 INFO Experiment.PerfCost-3e8c: Processed 2070 samples out of 10000, 0 errors
23:15:56,253 INFO Experiment.PerfCost-3e8c: Processed 2080 samples out of 10000, 0 errors
23:16:06,577 INFO Experiment.PerfCost-3e8c: Processed 2090 samples out of 10000, 0 errors
23:16:16,889 INFO Experiment.PerfCost-3e8c: Processed 2100 samples out of 10000, 0 errors
23:16:27,218 INFO Experiment.PerfCost-3e8c: Processed 2110 samples out of 10000, 0 errors
23:16:37,571 INFO Experiment.PerfCost-3e8c: Processed 2120 samples out of 10000, 0 errors
23:16:47,905 INFO Experiment.PerfCost-3e8c: Processed 2130 samples out of 10000, 0 errors
23:16:58,263 INFO Experiment.PerfCost-3e8c: Processed 2140 samples out of 10000, 0 errors
23:17:08,623 INFO Experiment.PerfCost-3e8c: Processed 2150 samples out of 10000, 0 errors
23:17:19,10 INFO Experiment.PerfCost-3e8c: Processed 2160 samples out of 10000, 0 errors
23:17:29,368 INFO Experiment.PerfCost-3e8c: Processed 2170 samples out of 10000, 0 errors
23:17:39,695 INFO Experiment.PerfCost-3e8c: Processed 2180 samples out of 10000, 0 errors
23:17:50,6 INFO Experiment.PerfCost-3e8c: Processed 2190 samples out of 10000, 0 errors
23:18:00,314 INFO Experiment.PerfCost-3e8c: Processed 2200 samples out of 10000, 0 errors
23:18:10,623 INFO Experiment.PerfCost-3e8c: Processed 2210 samples out of 10000, 0 errors
