language,configuration,endpoint,container_id,host,targetRPS,CPU,experiment_id
go,standard,updates,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,250,100.87447459971402,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,otel,db,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,150,86.34321194036923,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,standard,json,6851d3462dc05b942cee31723d914b95d06e5484f834bad6d54b2414012397a7,go-standard,3850,75.66885732197375,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,elastic,db,0de53fb1854819d3efa035c407945157fa3425cd93b1622fdbcec649b14d8213,java-elastic,1450,76.21330344707822,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,otel,json,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,250,88.39925181198268,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,elastic,queries,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,200,101.26847530909356,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,otel,queries,2b5744821f00fc2da55a26c303d9f3a53e9ef52d71f275cf96a11093759f3690,go-otel,150,102.23012390162329,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
go,elastic,json,265d19fa261f52289377ebb0ab4b5b044fe675a0249dfda6cd45d3e58b1c8d41,go-elastic,2250,79.69166619325881,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,otel,updates,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,125,82.24436644544633,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,otel,db,f2ed7dd5bf6ddb9897b988ff68e552cba3b0fdb085274b4a2fa3a46499b0aaf7,java-otel,1375,77.0791055568659,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,standard,json,1df8a07e14f25ce7e8dd7d3c93e82d45a91e103abc2feb2b0f2822ae47339bbc,python-standard,375,77.64825642543414,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
python,elastic,db,a3eb8215ce64c4afed2ba6975936b59df35ab3c1b6376f1bcc7887390f5579d2,python-elastic,100,80.66428126396593,6d8cc8f3-c25a-4d28-b1d6-be464472bff6
java,standard,updates,8a4078997129643b3569c28a30a1d07afcdee50b71fdc3eac7b458826d760930,java-standard,1200,76.00095173662895,eb86df1b-551a-4b77-bac1-3ba659ddfafa
python,otel,json,ca44381d7ea772c7da307d660663a94e6b8f66f021ffd869ecedcb397410800a,python-otel,250,85.16438786198387,eb86df1b-551a-4b77-bac1-3ba659ddfafa
