22:39:25,509 INFO SeBS-4c50: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/640.video-processing-otel
22:39:25,857 INFO OpenWhisk.Resources-8467: Using user-provided configuration of storage for OpenWhisk.
22:39:25,858 INFO OpenWhisk-79fb: Using existing resource name: 8504288e.
22:39:25,862 INFO Benchmark-689a: Building benchmark 640.video-processing-opentelemetry. Reason: no cached code package.
23:14:28,421 INFO Experiment.PerfCost-3361: Processed 1610 samples out of 10000, 0 errors
23:14:41,329 INFO Experiment.PerfCost-3361: Processed 1620 samples out of 10000, 0 errors
23:14:54,323 INFO Experiment.PerfCost-3361: Processed 1630 samples out of 10000, 0 errors
23:15:07,240 INFO Experiment.PerfCost-3361: Processed 1640 samples out of 10000, 0 errors
23:15:20,136 INFO Experiment.PerfCost-3361: Processed 1650 samples out of 10000, 0 errors
23:15:33,135 INFO Experiment.PerfCost-3361: Processed 1660 samples out of 10000, 0 errors
23:15:45,931 INFO Experiment.PerfCost-3361: Processed 1670 samples out of 10000, 0 errors
23:15:58,666 INFO Experiment.PerfCost-3361: Processed 1680 samples out of 10000, 0 errors
23:16:11,535 INFO Experiment.PerfCost-3361: Processed 1690 samples out of 10000, 0 errors
23:16:24,622 INFO Experiment.PerfCost-3361: Processed 1700 samples out of 10000, 0 errors
23:16:37,444 INFO Experiment.PerfCost-3361: Processed 1710 samples out of 10000, 0 errors
23:16:50,325 INFO Experiment.PerfCost-3361: Processed 1720 samples out of 10000, 0 errors
23:17:03,247 INFO Experiment.PerfCost-3361: Processed 1730 samples out of 10000, 0 errors
23:17:15,985 INFO Experiment.PerfCost-3361: Processed 1740 samples out of 10000, 0 errors
23:17:28,802 INFO Experiment.PerfCost-3361: Processed 1750 samples out of 10000, 0 errors
23:17:41,640 INFO Experiment.PerfCost-3361: Processed 1760 samples out of 10000, 0 errors
23:17:54,494 INFO Experiment.PerfCost-3361: Processed 1770 samples out of 10000, 0 errors
23:18:07,475 INFO Experiment.PerfCost-3361: Processed 1780 samples out of 10000, 0 errors
23:18:20,486 INFO Experiment.PerfCost-3361: Processed 1790 samples out of 10000, 0 errors
23:18:33,490 INFO Experiment.PerfCost-3361: Processed 1800 samples out of 10000, 0 errors
23:18:46,219 INFO Experiment.PerfCost-3361: Processed 1810 samples out of 10000, 0 errors
23:18:59,89 INFO Experiment.PerfCost-3361: Processed 1820 samples out of 10000, 0 errors
23:19:11,826 INFO Experiment.PerfCost-3361: Processed 1830 samples out of 10000, 0 errors
23:19:24,641 INFO Experiment.PerfCost-3361: Processed 1840 samples out of 10000, 0 errors
23:19:37,552 INFO Experiment.PerfCost-3361: Processed 1850 samples out of 10000, 0 errors
23:19:50,429 INFO Experiment.PerfCost-3361: Processed 1860 samples out of 10000, 0 errors
23:20:03,294 INFO Experiment.PerfCost-3361: Processed 1870 samples out of 10000, 0 errors
23:20:16,129 INFO Experiment.PerfCost-3361: Processed 1880 samples out of 10000, 0 errors
23:20:28,922 INFO Experiment.PerfCost-3361: Processed 1890 samples out of 10000, 0 errors
23:20:41,898 INFO Experiment.PerfCost-3361: Processed 1900 samples out of 10000, 0 errors
23:20:54,562 INFO Experiment.PerfCost-3361: Processed 1910 samples out of 10000, 0 errors
23:21:07,398 INFO Experiment.PerfCost-3361: Processed 1920 samples out of 10000, 0 errors
23:21:20,192 INFO Experiment.PerfCost-3361: Processed 1930 samples out of 10000, 0 errors
23:21:33,100 INFO Experiment.PerfCost-3361: Processed 1940 samples out of 10000, 0 errors
23:21:45,991 INFO Experiment.PerfCost-3361: Processed 1950 samples out of 10000, 0 errors
23:21:58,921 INFO Experiment.PerfCost-3361: Processed 1960 samples out of 10000, 0 errors
23:22:11,842 INFO Experiment.PerfCost-3361: Processed 1970 samples out of 10000, 0 errors
23:22:24,743 INFO Experiment.PerfCost-3361: Processed 1980 samples out of 10000, 0 errors
23:22:37,654 INFO Experiment.PerfCost-3361: Processed 1990 samples out of 10000, 0 errors
23:22:50,409 INFO Experiment.PerfCost-3361: Processed 2000 samples out of 10000, 0 errors
23:23:03,379 INFO Experiment.PerfCost-3361: Processed 2010 samples out of 10000, 0 errors
23:23:16,432 INFO Experiment.PerfCost-3361: Processed 2020 samples out of 10000, 0 errors
23:23:29,435 INFO Experiment.PerfCost-3361: Processed 2030 samples out of 10000, 0 errors
23:23:42,107 INFO Experiment.PerfCost-3361: Processed 2040 samples out of 10000, 0 errors
23:23:54,853 INFO Experiment.PerfCost-3361: Processed 2050 samples out of 10000, 0 errors
23:24:07,701 INFO Experiment.PerfCost-3361: Processed 2060 samples out of 10000, 0 errors
23:24:20,466 INFO Experiment.PerfCost-3361: Processed 2070 samples out of 10000, 0 errors
23:24:33,176 INFO Experiment.PerfCost-3361: Processed 2080 samples out of 10000, 0 errors
23:24:45,919 INFO Experiment.PerfCost-3361: Processed 2090 samples out of 10000, 0 errors
23:24:58,856 INFO Experiment.PerfCost-3361: Processed 2100 samples out of 10000, 0 errors
23:25:11,702 INFO Experiment.PerfCost-3361: Processed 2110 samples out of 10000, 0 errors
23:25:24,526 INFO Experiment.PerfCost-3361: Processed 2120 samples out of 10000, 0 errors
23:25:37,328 INFO Experiment.PerfCost-3361: Processed 2130 samples out of 10000, 0 errors
23:25:50,234 INFO Experiment.PerfCost-3361: Processed 2140 samples out of 10000, 0 errors
23:26:02,947 INFO Experiment.PerfCost-3361: Processed 2150 samples out of 10000, 0 errors
23:26:15,626 INFO Experiment.PerfCost-3361: Processed 2160 samples out of 10000, 0 errors
23:26:28,561 INFO Experiment.PerfCost-3361: Processed 2170 samples out of 10000, 0 errors
23:26:41,422 INFO Experiment.PerfCost-3361: Processed 2180 samples out of 10000, 0 errors
23:26:54,469 INFO Experiment.PerfCost-3361: Processed 2190 samples out of 10000, 0 errors
23:27:07,176 INFO Experiment.PerfCost-3361: Processed 2200 samples out of 10000, 0 errors
23:27:20,187 INFO Experiment.PerfCost-3361: Processed 2210 samples out of 10000, 0 errors
23:27:33,19 INFO Experiment.PerfCost-3361: Processed 2220 samples out of 10000, 0 errors
23:27:45,722 INFO Experiment.PerfCost-3361: Processed 2230 samples out of 10000, 0 errors
23:27:58,613 INFO Experiment.PerfCost-3361: Processed 2240 samples out of 10000, 0 errors
23:28:11,460 INFO Experiment.PerfCost-3361: Processed 2250 samples out of 10000, 0 errors
23:28:24,536 INFO Experiment.PerfCost-3361: Processed 2260 samples out of 10000, 0 errors
23:28:37,438 INFO Experiment.PerfCost-3361: Processed 2270 samples out of 10000, 0 errors
23:28:50,311 INFO Experiment.PerfCost-3361: Processed 2280 samples out of 10000, 0 errors
23:29:03,104 INFO Experiment.PerfCost-3361: Processed 2290 samples out of 10000, 0 errors
23:29:16,46 INFO Experiment.PerfCost-3361: Processed 2300 samples out of 10000, 0 errors
23:29:28,850 INFO Experiment.PerfCost-3361: Processed 2310 samples out of 10000, 0 errors
23:29:41,727 INFO Experiment.PerfCost-3361: Processed 2320 samples out of 10000, 0 errors
23:29:54,505 INFO Experiment.PerfCost-3361: Processed 2330 samples out of 10000, 0 errors
23:30:07,324 INFO Experiment.PerfCost-3361: Processed 2340 samples out of 10000, 0 errors
23:30:20,166 INFO Experiment.PerfCost-3361: Processed 2350 samples out of 10000, 0 errors
23:30:33,56 INFO Experiment.PerfCost-3361: Processed 2360 samples out of 10000, 0 errors
23:30:45,891 INFO Experiment.PerfCost-3361: Processed 2370 samples out of 10000, 0 errors
23:30:58,695 INFO Experiment.PerfCost-3361: Processed 2380 samples out of 10000, 0 errors
23:31:11,597 INFO Experiment.PerfCost-3361: Processed 2390 samples out of 10000, 0 errors
23:31:24,511 INFO Experiment.PerfCost-3361: Processed 2400 samples out of 10000, 0 errors
23:31:37,462 INFO Experiment.PerfCost-3361: Processed 2410 samples out of 10000, 0 errors
23:31:50,425 INFO Experiment.PerfCost-3361: Processed 2420 samples out of 10000, 0 errors
23:32:03,303 INFO Experiment.PerfCost-3361: Processed 2430 samples out of 10000, 0 errors
23:32:16,107 INFO Experiment.PerfCost-3361: Processed 2440 samples out of 10000, 0 errors
23:32:28,840 INFO Experiment.PerfCost-3361: Processed 2450 samples out of 10000, 0 errors
23:32:41,630 INFO Experiment.PerfCost-3361: Processed 2460 samples out of 10000, 0 errors
23:32:54,526 INFO Experiment.PerfCost-3361: Processed 2470 samples out of 10000, 0 errors
23:33:07,472 INFO Experiment.PerfCost-3361: Processed 2480 samples out of 10000, 0 errors
23:33:20,412 INFO Experiment.PerfCost-3361: Processed 2490 samples out of 10000, 0 errors
23:33:33,431 INFO Experiment.PerfCost-3361: Processed 2500 samples out of 10000, 0 errors
23:33:46,204 INFO Experiment.PerfCost-3361: Processed 2510 samples out of 10000, 0 errors
23:33:58,843 INFO Experiment.PerfCost-3361: Processed 2520 samples out of 10000, 0 errors
23:34:11,769 INFO Experiment.PerfCost-3361: Processed 2530 samples out of 10000, 0 errors
23:34:24,688 INFO Experiment.PerfCost-3361: Processed 2540 samples out of 10000, 0 errors
23:34:37,697 INFO Experiment.PerfCost-3361: Processed 2550 samples out of 10000, 0 errors
23:34:50,716 INFO Experiment.PerfCost-3361: Processed 2560 samples out of 10000, 0 errors
23:35:03,499 INFO Experiment.PerfCost-3361: Processed 2570 samples out of 10000, 0 errors
23:35:16,444 INFO Experiment.PerfCost-3361: Processed 2580 samples out of 10000, 0 errors
23:35:29,349 INFO Experiment.PerfCost-3361: Processed 2590 samples out of 10000, 0 errors
23:35:42,99 INFO Experiment.PerfCost-3361: Processed 2600 samples out of 10000, 0 errors
23:35:55,110 INFO Experiment.PerfCost-3361: Processed 2610 samples out of 10000, 0 errors
23:36:08,77 INFO Experiment.PerfCost-3361: Processed 2620 samples out of 10000, 0 errors
23:36:20,893 INFO Experiment.PerfCost-3361: Processed 2630 samples out of 10000, 0 errors
23:36:33,756 INFO Experiment.PerfCost-3361: Processed 2640 samples out of 10000, 0 errors
23:36:46,854 INFO Experiment.PerfCost-3361: Processed 2650 samples out of 10000, 0 errors
23:36:59,808 INFO Experiment.PerfCost-3361: Processed 2660 samples out of 10000, 0 errors
