00:50:29,207 INFO SeBS-4606: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/221.video-processing
00:50:29,553 INFO OpenWhisk.Resources-ca32: Using user-provided configuration of storage for OpenWhisk.
00:50:29,553 INFO OpenWhisk-d0ba: Using existing resource name: 91d37410.
00:50:29,646 INFO Benchmark-6d75: Building benchmark 221.video-processing. Reason: no cached code package.
01:20:17,265 INFO Experiment.PerfCost-bfba: Processed 1420 samples out of 10000, 0 errors
01:20:29,682 INFO Experiment.PerfCost-bfba: Processed 1430 samples out of 10000, 0 errors
01:20:42,205 INFO Experiment.PerfCost-bfba: Processed 1440 samples out of 10000, 0 errors
01:20:54,629 INFO Experiment.PerfCost-bfba: Processed 1450 samples out of 10000, 0 errors
01:21:07,55 INFO Experiment.PerfCost-bfba: Processed 1460 samples out of 10000, 0 errors
01:21:19,467 INFO Experiment.PerfCost-bfba: Processed 1470 samples out of 10000, 0 errors
01:21:31,894 INFO Experiment.PerfCost-bfba: Processed 1480 samples out of 10000, 0 errors
01:21:44,395 INFO Experiment.PerfCost-bfba: Processed 1490 samples out of 10000, 0 errors
01:21:56,841 INFO Experiment.PerfCost-bfba: Processed 1500 samples out of 10000, 0 errors
01:22:09,220 INFO Experiment.PerfCost-bfba: Processed 1510 samples out of 10000, 0 errors
01:22:21,623 INFO Experiment.PerfCost-bfba: Processed 1520 samples out of 10000, 0 errors
01:22:33,927 INFO Experiment.PerfCost-bfba: Processed 1530 samples out of 10000, 0 errors
01:22:46,317 INFO Experiment.PerfCost-bfba: Processed 1540 samples out of 10000, 0 errors
01:22:58,718 INFO Experiment.PerfCost-bfba: Processed 1550 samples out of 10000, 0 errors
01:23:11,162 INFO Experiment.PerfCost-bfba: Processed 1560 samples out of 10000, 0 errors
01:23:23,558 INFO Experiment.PerfCost-bfba: Processed 1570 samples out of 10000, 0 errors
01:23:35,976 INFO Experiment.PerfCost-bfba: Processed 1580 samples out of 10000, 0 errors
01:23:48,293 INFO Experiment.PerfCost-bfba: Processed 1590 samples out of 10000, 0 errors
01:24:00,657 INFO Experiment.PerfCost-bfba: Processed 1600 samples out of 10000, 0 errors
01:24:13,63 INFO Experiment.PerfCost-bfba: Processed 1610 samples out of 10000, 0 errors
01:24:25,403 INFO Experiment.PerfCost-bfba: Processed 1620 samples out of 10000, 0 errors
01:24:37,797 INFO Experiment.PerfCost-bfba: Processed 1630 samples out of 10000, 0 errors
01:24:50,215 INFO Experiment.PerfCost-bfba: Processed 1640 samples out of 10000, 0 errors
01:25:02,681 INFO Experiment.PerfCost-bfba: Processed 1650 samples out of 10000, 0 errors
01:25:15,112 INFO Experiment.PerfCost-bfba: Processed 1660 samples out of 10000, 0 errors
01:25:27,596 INFO Experiment.PerfCost-bfba: Processed 1670 samples out of 10000, 0 errors
01:25:40,80 INFO Experiment.PerfCost-bfba: Processed 1680 samples out of 10000, 0 errors
01:25:52,386 INFO Experiment.PerfCost-bfba: Processed 1690 samples out of 10000, 0 errors
01:26:04,766 INFO Experiment.PerfCost-bfba: Processed 1700 samples out of 10000, 0 errors
01:26:17,113 INFO Experiment.PerfCost-bfba: Processed 1710 samples out of 10000, 0 errors
01:26:29,501 INFO Experiment.PerfCost-bfba: Processed 1720 samples out of 10000, 0 errors
01:26:41,904 INFO Experiment.PerfCost-bfba: Processed 1730 samples out of 10000, 0 errors
01:26:54,338 INFO Experiment.PerfCost-bfba: Processed 1740 samples out of 10000, 0 errors
01:27:06,832 INFO Experiment.PerfCost-bfba: Processed 1750 samples out of 10000, 0 errors
