23:47:14,226 INFO SeBS-91bf: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/on/instrumented/660.graph-pagerank
23:47:14,557 INFO OpenWhisk.Resources-6a2f: Using user-provided configuration of storage for OpenWhisk.
23:47:14,557 INFO OpenWhisk-4879: Using existing resource name: 8504288e.
23:47:14,561 INFO Benchmark-d60f: Building benchmark 660.graph-pagerank. Reason: no cached code package.
00:24:47,991 INFO Experiment.PerfCost-7e17: Processed 2190 samples out of 10000, 0 errors
00:24:58,117 INFO Experiment.PerfCost-7e17: Processed 2200 samples out of 10000, 0 errors
00:25:08,245 INFO Experiment.PerfCost-7e17: Processed 2210 samples out of 10000, 0 errors
00:25:18,347 INFO Experiment.PerfCost-7e17: Processed 2220 samples out of 10000, 0 errors
00:25:28,471 INFO Experiment.PerfCost-7e17: Processed 2230 samples out of 10000, 0 errors
00:25:38,596 INFO Experiment.PerfCost-7e17: Processed 2240 samples out of 10000, 0 errors
00:25:48,702 INFO Experiment.PerfCost-7e17: Processed 2250 samples out of 10000, 0 errors
00:25:58,862 INFO Experiment.PerfCost-7e17: Processed 2260 samples out of 10000, 0 errors
00:26:08,954 INFO Experiment.PerfCost-7e17: Processed 2270 samples out of 10000, 0 errors
00:26:19,108 INFO Experiment.PerfCost-7e17: Processed 2280 samples out of 10000, 0 errors
00:26:29,224 INFO Experiment.PerfCost-7e17: Processed 2290 samples out of 10000, 0 errors
00:26:39,342 INFO Experiment.PerfCost-7e17: Processed 2300 samples out of 10000, 0 errors
00:26:49,468 INFO Experiment.PerfCost-7e17: Processed 2310 samples out of 10000, 0 errors
00:26:59,598 INFO Experiment.PerfCost-7e17: Processed 2320 samples out of 10000, 0 errors
00:27:09,731 INFO Experiment.PerfCost-7e17: Processed 2330 samples out of 10000, 0 errors
00:27:19,847 INFO Experiment.PerfCost-7e17: Processed 2340 samples out of 10000, 0 errors
00:27:30,37 INFO Experiment.PerfCost-7e17: Processed 2350 samples out of 10000, 0 errors
00:27:40,156 INFO Experiment.PerfCost-7e17: Processed 2360 samples out of 10000, 0 errors
00:27:50,288 INFO Experiment.PerfCost-7e17: Processed 2370 samples out of 10000, 0 errors
00:28:00,414 INFO Experiment.PerfCost-7e17: Processed 2380 samples out of 10000, 0 errors
00:28:10,510 INFO Experiment.PerfCost-7e17: Processed 2390 samples out of 10000, 0 errors
00:28:20,626 INFO Experiment.PerfCost-7e17: Processed 2400 samples out of 10000, 0 errors
00:28:30,733 INFO Experiment.PerfCost-7e17: Processed 2410 samples out of 10000, 0 errors
00:28:40,838 INFO Experiment.PerfCost-7e17: Processed 2420 samples out of 10000, 0 errors
00:28:50,972 INFO Experiment.PerfCost-7e17: Processed 2430 samples out of 10000, 0 errors
00:29:01,95 INFO Experiment.PerfCost-7e17: Processed 2440 samples out of 10000, 0 errors
00:29:11,196 INFO Experiment.PerfCost-7e17: Processed 2450 samples out of 10000, 0 errors
00:29:21,303 INFO Experiment.PerfCost-7e17: Processed 2460 samples out of 10000, 0 errors
00:29:31,442 INFO Experiment.PerfCost-7e17: Processed 2470 samples out of 10000, 0 errors
00:29:41,547 INFO Experiment.PerfCost-7e17: Processed 2480 samples out of 10000, 0 errors
00:29:51,666 INFO Experiment.PerfCost-7e17: Processed 2490 samples out of 10000, 0 errors
00:30:01,805 INFO Experiment.PerfCost-7e17: Processed 2500 samples out of 10000, 0 errors
00:30:11,909 INFO Experiment.PerfCost-7e17: Processed 2510 samples out of 10000, 0 errors
00:30:22,57 INFO Experiment.PerfCost-7e17: Processed 2520 samples out of 10000, 0 errors
00:30:32,158 INFO Experiment.PerfCost-7e17: Processed 2530 samples out of 10000, 0 errors
00:30:42,276 INFO Experiment.PerfCost-7e17: Processed 2540 samples out of 10000, 0 errors
00:30:52,404 INFO Experiment.PerfCost-7e17: Processed 2550 samples out of 10000, 0 errors
00:31:02,494 INFO Experiment.PerfCost-7e17: Processed 2560 samples out of 10000, 0 errors
00:31:12,651 INFO Experiment.PerfCost-7e17: Processed 2570 samples out of 10000, 0 errors
00:31:22,776 INFO Experiment.PerfCost-7e17: Processed 2580 samples out of 10000, 0 errors
00:31:32,904 INFO Experiment.PerfCost-7e17: Processed 2590 samples out of 10000, 0 errors
00:31:42,998 INFO Experiment.PerfCost-7e17: Processed 2600 samples out of 10000, 0 errors
00:31:53,136 INFO Experiment.PerfCost-7e17: Processed 2610 samples out of 10000, 0 errors
00:32:03,276 INFO Experiment.PerfCost-7e17: Processed 2620 samples out of 10000, 0 errors
