02:14:56,528 INFO SeBS-ac33: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/non-instrumented/660.graph-pagerank
02:14:56,873 INFO OpenWhisk.Resources-6ab7: Using user-provided configuration of storage for OpenWhisk.
02:14:56,873 INFO OpenWhisk-dcbe: Using existing resource name: 8504288e.
02:14:56,877 INFO Benchmark-b382: Building benchmark 660.graph-pagerank. Reason: no cached code package.
02:48:09,913 INFO Experiment.PerfCost-b181: Processed 1960 samples out of 10000, 0 errors
02:48:20,23 INFO Experiment.PerfCost-b181: Processed 1970 samples out of 10000, 0 errors
02:48:30,122 INFO Experiment.PerfCost-b181: Processed 1980 samples out of 10000, 0 errors
02:48:40,235 INFO Experiment.PerfCost-b181: Processed 1990 samples out of 10000, 0 errors
02:48:50,334 INFO Experiment.PerfCost-b181: Processed 2000 samples out of 10000, 0 errors
02:49:00,439 INFO Experiment.PerfCost-b181: Processed 2010 samples out of 10000, 0 errors
02:49:10,549 INFO Experiment.PerfCost-b181: Processed 2020 samples out of 10000, 0 errors
02:49:20,651 INFO Experiment.PerfCost-b181: Processed 2030 samples out of 10000, 0 errors
02:49:30,759 INFO Experiment.PerfCost-b181: Processed 2040 samples out of 10000, 0 errors
02:49:40,865 INFO Experiment.PerfCost-b181: Processed 2050 samples out of 10000, 0 errors
02:49:50,966 INFO Experiment.PerfCost-b181: Processed 2060 samples out of 10000, 0 errors
02:50:01,73 INFO Experiment.PerfCost-b181: Processed 2070 samples out of 10000, 0 errors
02:50:11,168 INFO Experiment.PerfCost-b181: Processed 2080 samples out of 10000, 0 errors
02:50:21,261 INFO Experiment.PerfCost-b181: Processed 2090 samples out of 10000, 0 errors
02:50:31,403 INFO Experiment.PerfCost-b181: Processed 2100 samples out of 10000, 0 errors
02:50:41,545 INFO Experiment.PerfCost-b181: Processed 2110 samples out of 10000, 0 errors
02:50:51,674 INFO Experiment.PerfCost-b181: Processed 2120 samples out of 10000, 0 errors
02:51:01,817 INFO Experiment.PerfCost-b181: Processed 2130 samples out of 10000, 0 errors
02:51:11,959 INFO Experiment.PerfCost-b181: Processed 2140 samples out of 10000, 0 errors
02:51:22,84 INFO Experiment.PerfCost-b181: Processed 2150 samples out of 10000, 0 errors
02:51:32,210 INFO Experiment.PerfCost-b181: Processed 2160 samples out of 10000, 0 errors
02:51:42,360 INFO Experiment.PerfCost-b181: Processed 2170 samples out of 10000, 0 errors
02:51:52,461 INFO Experiment.PerfCost-b181: Processed 2180 samples out of 10000, 0 errors
02:52:02,601 INFO Experiment.PerfCost-b181: Processed 2190 samples out of 10000, 0 errors
02:52:12,740 INFO Experiment.PerfCost-b181: Processed 2200 samples out of 10000, 0 errors
02:52:22,878 INFO Experiment.PerfCost-b181: Processed 2210 samples out of 10000, 0 errors
02:52:33,46 INFO Experiment.PerfCost-b181: Processed 2220 samples out of 10000, 0 errors
02:52:43,192 INFO Experiment.PerfCost-b181: Processed 2230 samples out of 10000, 0 errors
02:52:53,327 INFO Experiment.PerfCost-b181: Processed 2240 samples out of 10000, 0 errors
02:53:03,473 INFO Experiment.PerfCost-b181: Processed 2250 samples out of 10000, 0 errors
02:53:13,634 INFO Experiment.PerfCost-b181: Processed 2260 samples out of 10000, 0 errors
02:53:23,768 INFO Experiment.PerfCost-b181: Processed 2270 samples out of 10000, 0 errors
02:53:33,857 INFO Experiment.PerfCost-b181: Processed 2280 samples out of 10000, 0 errors
02:53:43,973 INFO Experiment.PerfCost-b181: Processed 2290 samples out of 10000, 0 errors
02:53:54,109 INFO Experiment.PerfCost-b181: Processed 2300 samples out of 10000, 0 errors
02:54:04,237 INFO Experiment.PerfCost-b181: Processed 2310 samples out of 10000, 0 errors
02:54:14,380 INFO Experiment.PerfCost-b181: Processed 2320 samples out of 10000, 0 errors
02:54:24,535 INFO Experiment.PerfCost-b181: Processed 2330 samples out of 10000, 0 errors
02:54:34,680 INFO Experiment.PerfCost-b181: Processed 2340 samples out of 10000, 0 errors
02:54:44,845 INFO Experiment.PerfCost-b181: Processed 2350 samples out of 10000, 0 errors
02:54:54,973 INFO Experiment.PerfCost-b181: Processed 2360 samples out of 10000, 0 errors
02:55:05,100 INFO Experiment.PerfCost-b181: Processed 2370 samples out of 10000, 0 errors
02:55:15,251 INFO Experiment.PerfCost-b181: Processed 2380 samples out of 10000, 0 errors
02:55:25,375 INFO Experiment.PerfCost-b181: Processed 2390 samples out of 10000, 0 errors
02:55:35,492 INFO Experiment.PerfCost-b181: Processed 2400 samples out of 10000, 0 errors
02:55:45,630 INFO Experiment.PerfCost-b181: Processed 2410 samples out of 10000, 0 errors
02:55:55,719 INFO Experiment.PerfCost-b181: Processed 2420 samples out of 10000, 0 errors
02:56:05,853 INFO Experiment.PerfCost-b181: Processed 2430 samples out of 10000, 0 errors
02:56:15,968 INFO Experiment.PerfCost-b181: Processed 2440 samples out of 10000, 0 errors
02:56:26,119 INFO Experiment.PerfCost-b181: Processed 2450 samples out of 10000, 0 errors
02:56:36,270 INFO Experiment.PerfCost-b181: Processed 2460 samples out of 10000, 0 errors
02:56:46,380 INFO Experiment.PerfCost-b181: Processed 2470 samples out of 10000, 0 errors
02:56:56,523 INFO Experiment.PerfCost-b181: Processed 2480 samples out of 10000, 0 errors
02:57:06,666 INFO Experiment.PerfCost-b181: Processed 2490 samples out of 10000, 0 errors
02:57:16,765 INFO Experiment.PerfCost-b181: Processed 2500 samples out of 10000, 0 errors
02:57:26,886 INFO Experiment.PerfCost-b181: Processed 2510 samples out of 10000, 0 errors
02:57:37,25 INFO Experiment.PerfCost-b181: Processed 2520 samples out of 10000, 0 errors
02:57:47,133 INFO Experiment.PerfCost-b181: Processed 2530 samples out of 10000, 0 errors
02:57:57,272 INFO Experiment.PerfCost-b181: Processed 2540 samples out of 10000, 0 errors
02:58:07,431 INFO Experiment.PerfCost-b181: Processed 2550 samples out of 10000, 0 errors
02:58:17,605 INFO Experiment.PerfCost-b181: Processed 2560 samples out of 10000, 0 errors
02:58:27,718 INFO Experiment.PerfCost-b181: Processed 2570 samples out of 10000, 0 errors
02:58:37,825 INFO Experiment.PerfCost-b181: Processed 2580 samples out of 10000, 0 errors
02:58:47,949 INFO Experiment.PerfCost-b181: Processed 2590 samples out of 10000, 0 errors
02:58:58,79 INFO Experiment.PerfCost-b181: Processed 2600 samples out of 10000, 0 errors
02:59:08,230 INFO Experiment.PerfCost-b181: Processed 2610 samples out of 10000, 0 errors
02:59:18,375 INFO Experiment.PerfCost-b181: Processed 2620 samples out of 10000, 0 errors
02:59:28,491 INFO Experiment.PerfCost-b181: Processed 2630 samples out of 10000, 0 errors
02:59:38,619 INFO Experiment.PerfCost-b181: Processed 2640 samples out of 10000, 0 errors
02:59:48,773 INFO Experiment.PerfCost-b181: Processed 2650 samples out of 10000, 0 errors
02:59:58,894 INFO Experiment.PerfCost-b181: Processed 2660 samples out of 10000, 0 errors
