09:38:56,591 INFO SeBS-5b25: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/650.compression-otel
09:38:56,909 INFO OpenWhisk.Resources-b432: Using user-provided configuration of storage for OpenWhisk.
10:16:38,544 INFO Experiment.PerfCost-5d88: Processed 1878 samples out of 10000, 0 errors
10:16:50,500 INFO Experiment.PerfCost-5d88: Processed 1888 samples out of 10000, 0 errors
10:17:02,489 INFO Experiment.PerfCost-5d88: Processed 1898 samples out of 10000, 0 errors
10:17:14,490 INFO Experiment.PerfCost-5d88: Processed 1908 samples out of 10000, 0 errors
10:17:26,445 INFO Experiment.PerfCost-5d88: Processed 1918 samples out of 10000, 0 errors
10:17:38,415 INFO Experiment.PerfCost-5d88: Processed 1928 samples out of 10000, 0 errors
10:17:50,399 INFO Experiment.PerfCost-5d88: Processed 1938 samples out of 10000, 0 errors
10:18:02,343 INFO Experiment.PerfCost-5d88: Processed 1948 samples out of 10000, 0 errors
10:18:14,295 INFO Experiment.PerfCost-5d88: Processed 1958 samples out of 10000, 0 errors
10:18:26,250 INFO Experiment.PerfCost-5d88: Processed 1968 samples out of 10000, 0 errors
10:18:38,186 INFO Experiment.PerfCost-5d88: Processed 1978 samples out of 10000, 0 errors
10:18:50,115 INFO Experiment.PerfCost-5d88: Processed 1988 samples out of 10000, 0 errors
10:19:02,62 INFO Experiment.PerfCost-5d88: Processed 1998 samples out of 10000, 0 errors
10:19:14,34 INFO Experiment.PerfCost-5d88: Processed 2008 samples out of 10000, 0 errors
10:19:25,993 INFO Experiment.PerfCost-5d88: Processed 2018 samples out of 10000, 0 errors
10:19:37,954 INFO Experiment.PerfCost-5d88: Processed 2028 samples out of 10000, 0 errors
10:19:49,868 INFO Experiment.PerfCost-5d88: Processed 2038 samples out of 10000, 0 errors
10:20:01,825 INFO Experiment.PerfCost-5d88: Processed 2048 samples out of 10000, 0 errors
10:20:13,763 INFO Experiment.PerfCost-5d88: Processed 2058 samples out of 10000, 0 errors
10:20:25,715 INFO Experiment.PerfCost-5d88: Processed 2068 samples out of 10000, 0 errors
10:20:37,728 INFO Experiment.PerfCost-5d88: Processed 2078 samples out of 10000, 0 errors
10:20:49,695 INFO Experiment.PerfCost-5d88: Processed 2088 samples out of 10000, 0 errors
10:21:01,658 INFO Experiment.PerfCost-5d88: Processed 2098 samples out of 10000, 0 errors
10:21:13,612 INFO Experiment.PerfCost-5d88: Processed 2108 samples out of 10000, 0 errors
10:21:25,565 INFO Experiment.PerfCost-5d88: Processed 2118 samples out of 10000, 0 errors
10:21:37,526 INFO Experiment.PerfCost-5d88: Processed 2128 samples out of 10000, 0 errors
10:21:49,481 INFO Experiment.PerfCost-5d88: Processed 2138 samples out of 10000, 0 errors
10:22:01,421 INFO Experiment.PerfCost-5d88: Processed 2148 samples out of 10000, 0 errors
10:22:13,372 INFO Experiment.PerfCost-5d88: Processed 2158 samples out of 10000, 0 errors
10:22:25,323 INFO Experiment.PerfCost-5d88: Processed 2168 samples out of 10000, 0 errors
10:22:37,283 INFO Experiment.PerfCost-5d88: Processed 2178 samples out of 10000, 0 errors
10:22:49,219 INFO Experiment.PerfCost-5d88: Processed 2188 samples out of 10000, 0 errors
10:23:01,251 INFO Experiment.PerfCost-5d88: Processed 2198 samples out of 10000, 0 errors
10:23:13,214 INFO Experiment.PerfCost-5d88: Processed 2208 samples out of 10000, 0 errors
10:23:25,124 INFO Experiment.PerfCost-5d88: Processed 2218 samples out of 10000, 0 errors
10:23:37,54 INFO Experiment.PerfCost-5d88: Processed 2228 samples out of 10000, 0 errors
10:23:49,29 INFO Experiment.PerfCost-5d88: Processed 2238 samples out of 10000, 0 errors
10:24:01,26 INFO Experiment.PerfCost-5d88: Processed 2248 samples out of 10000, 0 errors
10:24:12,952 INFO Experiment.PerfCost-5d88: Processed 2258 samples out of 10000, 0 errors
10:24:24,890 INFO Experiment.PerfCost-5d88: Processed 2268 samples out of 10000, 0 errors
10:24:36,898 INFO Experiment.PerfCost-5d88: Processed 2278 samples out of 10000, 0 errors
10:24:48,854 INFO Experiment.PerfCost-5d88: Processed 2288 samples out of 10000, 0 errors
10:25:00,803 INFO Experiment.PerfCost-5d88: Processed 2298 samples out of 10000, 0 errors
10:25:12,699 INFO Experiment.PerfCost-5d88: Processed 2308 samples out of 10000, 0 errors
10:25:24,641 INFO Experiment.PerfCost-5d88: Processed 2318 samples out of 10000, 0 errors
10:25:36,633 INFO Experiment.PerfCost-5d88: Processed 2328 samples out of 10000, 0 errors
10:25:48,566 INFO Experiment.PerfCost-5d88: Processed 2338 samples out of 10000, 0 errors
10:26:00,537 INFO Experiment.PerfCost-5d88: Processed 2348 samples out of 10000, 0 errors
10:26:12,485 INFO Experiment.PerfCost-5d88: Processed 2358 samples out of 10000, 0 errors
10:26:24,431 INFO Experiment.PerfCost-5d88: Processed 2368 samples out of 10000, 0 errors
10:26:36,405 INFO Experiment.PerfCost-5d88: Processed 2378 samples out of 10000, 0 errors
10:26:48,343 INFO Experiment.PerfCost-5d88: Processed 2388 samples out of 10000, 0 errors
10:27:00,293 INFO Experiment.PerfCost-5d88: Processed 2398 samples out of 10000, 0 errors
10:27:12,221 INFO Experiment.PerfCost-5d88: Processed 2408 samples out of 10000, 0 errors
10:27:24,120 INFO Experiment.PerfCost-5d88: Processed 2418 samples out of 10000, 0 errors
10:27:36,88 INFO Experiment.PerfCost-5d88: Processed 2428 samples out of 10000, 0 errors
10:27:48,19 INFO Experiment.PerfCost-5d88: Processed 2438 samples out of 10000, 0 errors
10:27:59,973 INFO Experiment.PerfCost-5d88: Processed 2448 samples out of 10000, 0 errors
10:28:11,946 INFO Experiment.PerfCost-5d88: Processed 2458 samples out of 10000, 0 errors
10:28:23,947 INFO Experiment.PerfCost-5d88: Processed 2468 samples out of 10000, 0 errors
