16:55:57,496 INFO Experiment.PerfCost-5cc9: Processed 2130 samples out of 10000, 0 errors
16:56:07,564 INFO Experiment.PerfCost-5cc9: Processed 2140 samples out of 10000, 0 errors
16:56:17,645 INFO Experiment.PerfCost-5cc9: Processed 2150 samples out of 10000, 0 errors
16:56:27,718 INFO Experiment.PerfCost-5cc9: Processed 2160 samples out of 10000, 0 errors
16:56:37,786 INFO Experiment.PerfCost-5cc9: Processed 2170 samples out of 10000, 0 errors
16:56:47,871 INFO Experiment.PerfCost-5cc9: Processed 2180 samples out of 10000, 0 errors
16:56:57,942 INFO Experiment.PerfCost-5cc9: Processed 2190 samples out of 10000, 0 errors
16:57:08,19 INFO Experiment.PerfCost-5cc9: Processed 2200 samples out of 10000, 0 errors
16:57:18,96 INFO Experiment.PerfCost-5cc9: Processed 2210 samples out of 10000, 0 errors
16:57:28,165 INFO Experiment.PerfCost-5cc9: Processed 2220 samples out of 10000, 0 errors
16:57:38,239 INFO Experiment.PerfCost-5cc9: Processed 2230 samples out of 10000, 0 errors
16:57:48,319 INFO Experiment.PerfCost-5cc9: Processed 2240 samples out of 10000, 0 errors
16:57:58,395 INFO Experiment.PerfCost-5cc9: Processed 2250 samples out of 10000, 0 errors
16:58:08,488 INFO Experiment.PerfCost-5cc9: Processed 2260 samples out of 10000, 0 errors
16:58:18,565 INFO Experiment.PerfCost-5cc9: Processed 2270 samples out of 10000, 0 errors
16:58:28,642 INFO Experiment.PerfCost-5cc9: Processed 2280 samples out of 10000, 0 errors
16:58:38,711 INFO Experiment.PerfCost-5cc9: Processed 2290 samples out of 10000, 0 errors
16:58:48,779 INFO Experiment.PerfCost-5cc9: Processed 2300 samples out of 10000, 0 errors
16:58:58,855 INFO Experiment.PerfCost-5cc9: Processed 2310 samples out of 10000, 0 errors
16:59:08,935 INFO Experiment.PerfCost-5cc9: Processed 2320 samples out of 10000, 0 errors
16:59:19,9 INFO Experiment.PerfCost-5cc9: Processed 2330 samples out of 10000, 0 errors
16:59:29,95 INFO Experiment.PerfCost-5cc9: Processed 2340 samples out of 10000, 0 errors
16:59:39,175 INFO Experiment.PerfCost-5cc9: Processed 2350 samples out of 10000, 0 errors
16:59:49,249 INFO Experiment.PerfCost-5cc9: Processed 2360 samples out of 10000, 0 errors
16:59:59,319 INFO Experiment.PerfCost-5cc9: Processed 2370 samples out of 10000, 0 errors
17:00:09,407 INFO Experiment.PerfCost-5cc9: Processed 2380 samples out of 10000, 0 errors
17:00:19,488 INFO Experiment.PerfCost-5cc9: Processed 2390 samples out of 10000, 0 errors
17:00:29,598 INFO Experiment.PerfCost-5cc9: Processed 2400 samples out of 10000, 0 errors
17:00:39,670 INFO Experiment.PerfCost-5cc9: Processed 2410 samples out of 10000, 0 errors
17:00:49,744 INFO Experiment.PerfCost-5cc9: Processed 2420 samples out of 10000, 0 errors
17:00:59,817 INFO Experiment.PerfCost-5cc9: Processed 2430 samples out of 10000, 0 errors
17:01:09,890 INFO Experiment.PerfCost-5cc9: Processed 2440 samples out of 10000, 0 errors
17:01:19,959 INFO Experiment.PerfCost-5cc9: Processed 2450 samples out of 10000, 0 errors
17:01:30,42 INFO Experiment.PerfCost-5cc9: Processed 2460 samples out of 10000, 0 errors
