language,configuration,endpoint,container_id,host,targetRPS,experiment_id
go,elastic,db,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,300,edbd88e2-9cd1-4744-80f7-485f487a706a
go,standard,db,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,300,edbd88e2-9cd1-4744-80f7-485f487a706a
go,otel,queries,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,300,edbd88e2-9cd1-4744-80f7-485f487a706a
go,elastic,json,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,2300,edbd88e2-9cd1-4744-80f7-485f487a706a
go,standard,queries,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,300,edbd88e2-9cd1-4744-80f7-485f487a706a
go,elastic,updates,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,200,edbd88e2-9cd1-4744-80f7-485f487a706a
go,standard,updates,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,200,edbd88e2-9cd1-4744-80f7-485f487a706a
go,otel,json,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,1800,edbd88e2-9cd1-4744-80f7-485f487a706a
go,elastic,queries,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,300,edbd88e2-9cd1-4744-80f7-485f487a706a
go,standard,json,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,4000,edbd88e2-9cd1-4744-80f7-485f487a706a
go,otel,db,4b05b97ddde6539667295fa2d621e1a79a98617fd7becf0da4bf9fe020bc6846,go-otel,300,e8009448-8111-4204-bb26-d6eb0b6c3c21
go,elastic,json,c672eb8a9020e6b686ad7d877001a6758ec8e5499202a8185fe0755b4d7fcf68,go-elastic,2400,e8009448-8111-4204-bb26-d6eb0b6c3c21
go,standard,db,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,400,e8009448-8111-4204-bb26-d6eb0b6c3c21
go,standard,json,8158ea4440b108ff851875cff840048f44f1fca861bfc4e92039fbccb84fe000,go-standard,4200,e8009448-8111-4204-bb26-d6eb0b6c3c21
