14:00:01,978 INFO SeBS-6439: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/610.dynamic-html-otel
14:00:02,334 INFO OpenWhisk.Resources-d58d: Using user-provided configuration of storage for OpenWhisk.
14:00:02,334 INFO OpenWhisk-745f: Using existing resource name: 8504288e.
14:00:02,338 INFO Benchmark-3be0: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
14:37:56,205 INFO Experiment.PerfCost-4ea6: Processed 2230 samples out of 10000, 0 errors
14:38:06,328 INFO Experiment.PerfCost-4ea6: Processed 2240 samples out of 10000, 0 errors
14:38:16,450 INFO Experiment.PerfCost-4ea6: Processed 2250 samples out of 10000, 0 errors
14:38:26,574 INFO Experiment.PerfCost-4ea6: Processed 2260 samples out of 10000, 0 errors
14:38:36,704 INFO Experiment.PerfCost-4ea6: Processed 2270 samples out of 10000, 0 errors
14:38:46,829 INFO Experiment.PerfCost-4ea6: Processed 2280 samples out of 10000, 0 errors
14:38:56,944 INFO Experiment.PerfCost-4ea6: Processed 2290 samples out of 10000, 0 errors
14:39:07,72 INFO Experiment.PerfCost-4ea6: Processed 2300 samples out of 10000, 0 errors
14:39:17,207 INFO Experiment.PerfCost-4ea6: Processed 2310 samples out of 10000, 0 errors
14:39:27,341 INFO Experiment.PerfCost-4ea6: Processed 2320 samples out of 10000, 0 errors
14:39:37,476 INFO Experiment.PerfCost-4ea6: Processed 2330 samples out of 10000, 0 errors
14:39:47,591 INFO Experiment.PerfCost-4ea6: Processed 2340 samples out of 10000, 0 errors
14:39:57,715 INFO Experiment.PerfCost-4ea6: Processed 2350 samples out of 10000, 0 errors
14:40:07,859 INFO Experiment.PerfCost-4ea6: Processed 2360 samples out of 10000, 0 errors
14:40:17,978 INFO Experiment.PerfCost-4ea6: Processed 2370 samples out of 10000, 0 errors
14:40:28,99 INFO Experiment.PerfCost-4ea6: Processed 2380 samples out of 10000, 0 errors
14:40:38,255 INFO Experiment.PerfCost-4ea6: Processed 2390 samples out of 10000, 0 errors
14:40:48,407 INFO Experiment.PerfCost-4ea6: Processed 2400 samples out of 10000, 0 errors
14:40:58,537 INFO Experiment.PerfCost-4ea6: Processed 2410 samples out of 10000, 0 errors
14:41:08,672 INFO Experiment.PerfCost-4ea6: Processed 2420 samples out of 10000, 0 errors
14:41:18,795 INFO Experiment.PerfCost-4ea6: Processed 2430 samples out of 10000, 0 errors
14:41:28,917 INFO Experiment.PerfCost-4ea6: Processed 2440 samples out of 10000, 0 errors
14:41:39,61 INFO Experiment.PerfCost-4ea6: Processed 2450 samples out of 10000, 0 errors
14:41:49,247 INFO Experiment.PerfCost-4ea6: Processed 2460 samples out of 10000, 0 errors
14:41:59,384 INFO Experiment.PerfCost-4ea6: Processed 2470 samples out of 10000, 0 errors
14:42:09,516 INFO Experiment.PerfCost-4ea6: Processed 2480 samples out of 10000, 0 errors
14:42:19,639 INFO Experiment.PerfCost-4ea6: Processed 2490 samples out of 10000, 0 errors
14:42:29,779 INFO Experiment.PerfCost-4ea6: Processed 2500 samples out of 10000, 0 errors
14:42:39,910 INFO Experiment.PerfCost-4ea6: Processed 2510 samples out of 10000, 0 errors
14:42:50,37 INFO Experiment.PerfCost-4ea6: Processed 2520 samples out of 10000, 0 errors
14:43:00,150 INFO Experiment.PerfCost-4ea6: Processed 2530 samples out of 10000, 0 errors
14:43:10,286 INFO Experiment.PerfCost-4ea6: Processed 2540 samples out of 10000, 0 errors
14:43:20,414 INFO Experiment.PerfCost-4ea6: Processed 2550 samples out of 10000, 0 errors
