19:49:16,865 INFO SeBS-74f6: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/620.uploader-otel
19:49:17,229 INFO OpenWhisk.Resources-b49a: Using user-provided configuration of storage for OpenWhisk.
19:49:17,230 INFO OpenWhisk-3384: Using existing resource name: fd5e1ae0.
19:49:17,233 INFO Benchmark-de75: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
20:20:47,196 INFO Experiment.PerfCost-db86: Processed 1840 samples out of 10000, 0 errors
20:20:57,386 INFO Experiment.PerfCost-db86: Processed 1850 samples out of 10000, 0 errors
20:21:07,603 INFO Experiment.PerfCost-db86: Processed 1860 samples out of 10000, 0 errors
20:21:17,805 INFO Experiment.PerfCost-db86: Processed 1870 samples out of 10000, 0 errors
20:21:27,997 INFO Experiment.PerfCost-db86: Processed 1880 samples out of 10000, 0 errors
20:21:38,211 INFO Experiment.PerfCost-db86: Processed 1890 samples out of 10000, 0 errors
20:21:48,402 INFO Experiment.PerfCost-db86: Processed 1900 samples out of 10000, 0 errors
20:21:58,579 INFO Experiment.PerfCost-db86: Processed 1910 samples out of 10000, 0 errors
20:22:08,784 INFO Experiment.PerfCost-db86: Processed 1920 samples out of 10000, 0 errors
20:22:18,985 INFO Experiment.PerfCost-db86: Processed 1930 samples out of 10000, 0 errors
20:22:29,178 INFO Experiment.PerfCost-db86: Processed 1940 samples out of 10000, 0 errors
20:22:39,377 INFO Experiment.PerfCost-db86: Processed 1950 samples out of 10000, 0 errors
20:22:49,579 INFO Experiment.PerfCost-db86: Processed 1960 samples out of 10000, 0 errors
20:22:59,769 INFO Experiment.PerfCost-db86: Processed 1970 samples out of 10000, 0 errors
20:23:10,16 INFO Experiment.PerfCost-db86: Processed 1980 samples out of 10000, 0 errors
20:23:20,224 INFO Experiment.PerfCost-db86: Processed 1990 samples out of 10000, 0 errors
20:23:30,426 INFO Experiment.PerfCost-db86: Processed 2000 samples out of 10000, 0 errors
20:23:40,642 INFO Experiment.PerfCost-db86: Processed 2010 samples out of 10000, 0 errors
20:23:50,846 INFO Experiment.PerfCost-db86: Processed 2020 samples out of 10000, 0 errors
20:24:01,33 INFO Experiment.PerfCost-db86: Processed 2030 samples out of 10000, 0 errors
20:24:11,220 INFO Experiment.PerfCost-db86: Processed 2040 samples out of 10000, 0 errors
20:24:21,410 INFO Experiment.PerfCost-db86: Processed 2050 samples out of 10000, 0 errors
20:24:31,608 INFO Experiment.PerfCost-db86: Processed 2060 samples out of 10000, 0 errors
20:24:41,804 INFO Experiment.PerfCost-db86: Processed 2070 samples out of 10000, 0 errors
20:24:51,997 INFO Experiment.PerfCost-db86: Processed 2080 samples out of 10000, 0 errors
20:25:02,191 INFO Experiment.PerfCost-db86: Processed 2090 samples out of 10000, 0 errors
20:25:12,400 INFO Experiment.PerfCost-db86: Processed 2100 samples out of 10000, 0 errors
20:25:22,587 INFO Experiment.PerfCost-db86: Processed 2110 samples out of 10000, 0 errors
20:25:32,795 INFO Experiment.PerfCost-db86: Processed 2120 samples out of 10000, 0 errors
20:25:43,15 INFO Experiment.PerfCost-db86: Processed 2130 samples out of 10000, 0 errors
20:25:53,230 INFO Experiment.PerfCost-db86: Processed 2140 samples out of 10000, 0 errors
20:26:03,425 INFO Experiment.PerfCost-db86: Processed 2150 samples out of 10000, 0 errors
20:26:13,633 INFO Experiment.PerfCost-db86: Processed 2160 samples out of 10000, 0 errors
20:26:23,833 INFO Experiment.PerfCost-db86: Processed 2170 samples out of 10000, 0 errors
20:26:34,31 INFO Experiment.PerfCost-db86: Processed 2180 samples out of 10000, 0 errors
20:26:44,244 INFO Experiment.PerfCost-db86: Processed 2190 samples out of 10000, 0 errors
