17:00:09,908 INFO SeBS-3704: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/python/instrumented/610.dynamic-html-otel
17:00:10,273 INFO OpenWhisk.Resources-e9f0: Using user-provided configuration of storage for OpenWhisk.
17:00:10,273 INFO OpenWhisk-83d8: Using existing resource name: fd5e1ae0.
17:00:10,275 INFO Benchmark-40b9: Building benchmark 610.dynamic-html-otel. Reason: no cached code package.
17:28:21,843 INFO Experiment.PerfCost-0dff: Processed 1660 samples out of 10000, 0 errors
17:28:31,955 INFO Experiment.PerfCost-0dff: Processed 1670 samples out of 10000, 0 errors
17:28:42,65 INFO Experiment.PerfCost-0dff: Processed 1680 samples out of 10000, 0 errors
17:28:52,175 INFO Experiment.PerfCost-0dff: Processed 1690 samples out of 10000, 0 errors
17:29:02,283 INFO Experiment.PerfCost-0dff: Processed 1700 samples out of 10000, 0 errors
17:29:12,389 INFO Experiment.PerfCost-0dff: Processed 1710 samples out of 10000, 0 errors
17:29:22,507 INFO Experiment.PerfCost-0dff: Processed 1720 samples out of 10000, 0 errors
17:29:32,616 INFO Experiment.PerfCost-0dff: Processed 1730 samples out of 10000, 0 errors
17:29:42,727 INFO Experiment.PerfCost-0dff: Processed 1740 samples out of 10000, 0 errors
17:29:52,838 INFO Experiment.PerfCost-0dff: Processed 1750 samples out of 10000, 0 errors
17:30:02,939 INFO Experiment.PerfCost-0dff: Processed 1760 samples out of 10000, 0 errors
17:30:13,59 INFO Experiment.PerfCost-0dff: Processed 1770 samples out of 10000, 0 errors
17:30:23,168 INFO Experiment.PerfCost-0dff: Processed 1780 samples out of 10000, 0 errors
17:30:33,281 INFO Experiment.PerfCost-0dff: Processed 1790 samples out of 10000, 0 errors
17:30:43,452 INFO Experiment.PerfCost-0dff: Processed 1800 samples out of 10000, 0 errors
17:30:53,564 INFO Experiment.PerfCost-0dff: Processed 1810 samples out of 10000, 0 errors
17:31:03,674 INFO Experiment.PerfCost-0dff: Processed 1820 samples out of 10000, 0 errors
17:31:13,786 INFO Experiment.PerfCost-0dff: Processed 1830 samples out of 10000, 0 errors
17:31:23,893 INFO Experiment.PerfCost-0dff: Processed 1840 samples out of 10000, 0 errors
17:31:33,993 INFO Experiment.PerfCost-0dff: Processed 1850 samples out of 10000, 0 errors
17:31:44,101 INFO Experiment.PerfCost-0dff: Processed 1860 samples out of 10000, 0 errors
17:31:54,201 INFO Experiment.PerfCost-0dff: Processed 1870 samples out of 10000, 0 errors
17:32:04,308 INFO Experiment.PerfCost-0dff: Processed 1880 samples out of 10000, 0 errors
17:32:14,425 INFO Experiment.PerfCost-0dff: Processed 1890 samples out of 10000, 0 errors
