16:49:24,6 INFO SeBS-3a87: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/620.uploader-otel
16:49:24,353 INFO OpenWhisk.Resources-49e2: Using user-provided configuration of storage for OpenWhisk.
16:49:24,354 INFO OpenWhisk-6aa3: Using existing resource name: 8504288e.
16:49:24,358 INFO Benchmark-1bfc: Building benchmark 620.uploader-opentelemetry. Reason: no cached code package.
17:17:58,930 INFO Experiment.PerfCost-961b: Processed 1670 samples out of 10000, 0 errors
17:18:09,132 INFO Experiment.PerfCost-961b: Processed 1680 samples out of 10000, 0 errors
17:18:19,306 INFO Experiment.PerfCost-961b: Processed 1690 samples out of 10000, 0 errors
17:18:29,482 INFO Experiment.PerfCost-961b: Processed 1700 samples out of 10000, 0 errors
17:18:39,665 INFO Experiment.PerfCost-961b: Processed 1710 samples out of 10000, 0 errors
17:18:49,837 INFO Experiment.PerfCost-961b: Processed 1720 samples out of 10000, 0 errors
17:19:00,26 INFO Experiment.PerfCost-961b: Processed 1730 samples out of 10000, 0 errors
17:19:10,213 INFO Experiment.PerfCost-961b: Processed 1740 samples out of 10000, 0 errors
17:19:20,389 INFO Experiment.PerfCost-961b: Processed 1750 samples out of 10000, 0 errors
17:19:30,555 INFO Experiment.PerfCost-961b: Processed 1760 samples out of 10000, 0 errors
17:19:40,738 INFO Experiment.PerfCost-961b: Processed 1770 samples out of 10000, 0 errors
17:19:50,925 INFO Experiment.PerfCost-961b: Processed 1780 samples out of 10000, 0 errors
17:20:01,101 INFO Experiment.PerfCost-961b: Processed 1790 samples out of 10000, 0 errors
17:20:11,294 INFO Experiment.PerfCost-961b: Processed 1800 samples out of 10000, 0 errors
17:20:21,461 INFO Experiment.PerfCost-961b: Processed 1810 samples out of 10000, 0 errors
17:20:31,635 INFO Experiment.PerfCost-961b: Processed 1820 samples out of 10000, 0 errors
17:20:41,808 INFO Experiment.PerfCost-961b: Processed 1830 samples out of 10000, 0 errors
17:20:51,975 INFO Experiment.PerfCost-961b: Processed 1840 samples out of 10000, 0 errors
17:21:02,149 INFO Experiment.PerfCost-961b: Processed 1850 samples out of 10000, 0 errors
17:21:12,314 INFO Experiment.PerfCost-961b: Processed 1860 samples out of 10000, 0 errors
17:21:22,525 INFO Experiment.PerfCost-961b: Processed 1870 samples out of 10000, 0 errors
17:21:32,690 INFO Experiment.PerfCost-961b: Processed 1880 samples out of 10000, 0 errors
17:21:42,878 INFO Experiment.PerfCost-961b: Processed 1890 samples out of 10000, 0 errors
17:21:53,34 INFO Experiment.PerfCost-961b: Processed 1900 samples out of 10000, 0 errors
17:22:03,222 INFO Experiment.PerfCost-961b: Processed 1910 samples out of 10000, 0 errors
17:22:13,409 INFO Experiment.PerfCost-961b: Processed 1920 samples out of 10000, 0 errors
17:22:23,588 INFO Experiment.PerfCost-961b: Processed 1930 samples out of 10000, 0 errors
17:22:33,763 INFO Experiment.PerfCost-961b: Processed 1940 samples out of 10000, 0 errors
17:22:43,954 INFO Experiment.PerfCost-961b: Processed 1950 samples out of 10000, 0 errors
17:22:54,128 INFO Experiment.PerfCost-961b: Processed 1960 samples out of 10000, 0 errors
17:23:04,323 INFO Experiment.PerfCost-961b: Processed 1970 samples out of 10000, 0 errors
17:23:14,491 INFO Experiment.PerfCost-961b: Processed 1980 samples out of 10000, 0 errors
17:23:24,703 INFO Experiment.PerfCost-961b: Processed 1990 samples out of 10000, 0 errors
17:23:34,861 INFO Experiment.PerfCost-961b: Processed 2000 samples out of 10000, 0 errors
17:23:45,31 INFO Experiment.PerfCost-961b: Processed 2010 samples out of 10000, 0 errors
17:23:55,203 INFO Experiment.PerfCost-961b: Processed 2020 samples out of 10000, 0 errors
17:24:05,361 INFO Experiment.PerfCost-961b: Processed 2030 samples out of 10000, 0 errors
17:24:15,543 INFO Experiment.PerfCost-961b: Processed 2040 samples out of 10000, 0 errors
17:24:25,716 INFO Experiment.PerfCost-961b: Processed 2050 samples out of 10000, 0 errors
17:24:35,902 INFO Experiment.PerfCost-961b: Processed 2060 samples out of 10000, 0 errors
17:24:46,82 INFO Experiment.PerfCost-961b: Processed 2070 samples out of 10000, 0 errors
17:24:56,271 INFO Experiment.PerfCost-961b: Processed 2080 samples out of 10000, 0 errors
17:25:06,478 INFO Experiment.PerfCost-961b: Processed 2090 samples out of 10000, 0 errors
17:25:16,678 INFO Experiment.PerfCost-961b: Processed 2100 samples out of 10000, 0 errors
17:25:26,836 INFO Experiment.PerfCost-961b: Processed 2110 samples out of 10000, 0 errors
17:25:37,6 INFO Experiment.PerfCost-961b: Processed 2120 samples out of 10000, 0 errors
17:25:47,199 INFO Experiment.PerfCost-961b: Processed 2130 samples out of 10000, 0 errors
17:25:57,366 INFO Experiment.PerfCost-961b: Processed 2140 samples out of 10000, 0 errors
17:26:07,527 INFO Experiment.PerfCost-961b: Processed 2150 samples out of 10000, 0 errors
17:26:17,696 INFO Experiment.PerfCost-961b: Processed 2160 samples out of 10000, 0 errors
17:26:27,870 INFO Experiment.PerfCost-961b: Processed 2170 samples out of 10000, 0 errors
17:26:38,47 INFO Experiment.PerfCost-961b: Processed 2180 samples out of 10000, 0 errors
17:26:48,234 INFO Experiment.PerfCost-961b: Processed 2190 samples out of 10000, 0 errors
17:26:58,406 INFO Experiment.PerfCost-961b: Processed 2200 samples out of 10000, 0 errors
17:27:08,553 INFO Experiment.PerfCost-961b: Processed 2210 samples out of 10000, 0 errors
17:27:18,734 INFO Experiment.PerfCost-961b: Processed 2220 samples out of 10000, 0 errors
17:27:28,903 INFO Experiment.PerfCost-961b: Processed 2230 samples out of 10000, 0 errors
17:27:39,71 INFO Experiment.PerfCost-961b: Processed 2240 samples out of 10000, 0 errors
17:27:49,249 INFO Experiment.PerfCost-961b: Processed 2250 samples out of 10000, 0 errors
17:27:59,424 INFO Experiment.PerfCost-961b: Processed 2260 samples out of 10000, 0 errors
17:28:09,618 INFO Experiment.PerfCost-961b: Processed 2270 samples out of 10000, 0 errors
17:28:19,794 INFO Experiment.PerfCost-961b: Processed 2280 samples out of 10000, 0 errors
17:28:29,968 INFO Experiment.PerfCost-961b: Processed 2290 samples out of 10000, 0 errors
17:28:40,153 INFO Experiment.PerfCost-961b: Processed 2300 samples out of 10000, 0 errors
17:28:50,338 INFO Experiment.PerfCost-961b: Processed 2310 samples out of 10000, 0 errors
17:29:00,517 INFO Experiment.PerfCost-961b: Processed 2320 samples out of 10000, 0 errors
17:29:10,695 INFO Experiment.PerfCost-961b: Processed 2330 samples out of 10000, 0 errors
17:29:20,865 INFO Experiment.PerfCost-961b: Processed 2340 samples out of 10000, 0 errors
17:29:31,80 INFO Experiment.PerfCost-961b: Processed 2350 samples out of 10000, 0 errors
17:29:41,250 INFO Experiment.PerfCost-961b: Processed 2360 samples out of 10000, 0 errors
17:29:51,431 INFO Experiment.PerfCost-961b: Processed 2370 samples out of 10000, 0 errors
17:30:01,611 INFO Experiment.PerfCost-961b: Processed 2380 samples out of 10000, 0 errors
17:30:11,779 INFO Experiment.PerfCost-961b: Processed 2390 samples out of 10000, 0 errors
17:30:21,974 INFO Experiment.PerfCost-961b: Processed 2400 samples out of 10000, 0 errors
17:30:32,153 INFO Experiment.PerfCost-961b: Processed 2410 samples out of 10000, 0 errors
17:30:42,324 INFO Experiment.PerfCost-961b: Processed 2420 samples out of 10000, 0 errors
17:30:52,496 INFO Experiment.PerfCost-961b: Processed 2430 samples out of 10000, 0 errors
17:31:02,664 INFO Experiment.PerfCost-961b: Processed 2440 samples out of 10000, 0 errors
17:31:12,850 INFO Experiment.PerfCost-961b: Processed 2450 samples out of 10000, 0 errors
17:31:23,24 INFO Experiment.PerfCost-961b: Processed 2460 samples out of 10000, 0 errors
17:31:33,202 INFO Experiment.PerfCost-961b: Processed 2470 samples out of 10000, 0 errors
17:31:43,377 INFO Experiment.PerfCost-961b: Processed 2480 samples out of 10000, 0 errors
