19:39:34,775 INFO SeBS-c6b9: Created experiment output at /home/anou/msc-thesis/task-based-experiment/experiment-results/nodejs/instrumented/630.thumbnailer-otel
19:39:35,93 INFO OpenWhisk.Resources-151e: Using user-provided configuration of storage for OpenWhisk.
19:39:35,94 INFO OpenWhisk-24e9: Using existing resource name: 8504288e.
19:39:35,98 INFO Benchmark-0fec: Building benchmark 630.thumbnailer-opentelemetry. Reason: no cached code package.
20:15:34,753 INFO Experiment.PerfCost-0e34: Processed 1970 samples out of 10000, 0 errors
20:15:45,500 INFO Experiment.PerfCost-0e34: Processed 1980 samples out of 10000, 0 errors
20:15:56,232 INFO Experiment.PerfCost-0e34: Processed 1990 samples out of 10000, 0 errors
20:16:06,984 INFO Experiment.PerfCost-0e34: Processed 2000 samples out of 10000, 0 errors
20:16:17,687 INFO Experiment.PerfCost-0e34: Processed 2010 samples out of 10000, 0 errors
20:16:28,468 INFO Experiment.PerfCost-0e34: Processed 2020 samples out of 10000, 0 errors
20:16:39,167 INFO Experiment.PerfCost-0e34: Processed 2030 samples out of 10000, 0 errors
20:16:49,884 INFO Experiment.PerfCost-0e34: Processed 2040 samples out of 10000, 0 errors
20:17:00,605 INFO Experiment.PerfCost-0e34: Processed 2050 samples out of 10000, 0 errors
20:17:11,349 INFO Experiment.PerfCost-0e34: Processed 2060 samples out of 10000, 0 errors
20:17:22,89 INFO Experiment.PerfCost-0e34: Processed 2070 samples out of 10000, 0 errors
20:17:32,800 INFO Experiment.PerfCost-0e34: Processed 2080 samples out of 10000, 0 errors
20:17:43,498 INFO Experiment.PerfCost-0e34: Processed 2090 samples out of 10000, 0 errors
20:17:54,241 INFO Experiment.PerfCost-0e34: Processed 2100 samples out of 10000, 0 errors
20:18:04,970 INFO Experiment.PerfCost-0e34: Processed 2110 samples out of 10000, 0 errors
20:18:15,680 INFO Experiment.PerfCost-0e34: Processed 2120 samples out of 10000, 0 errors
20:18:26,405 INFO Experiment.PerfCost-0e34: Processed 2130 samples out of 10000, 0 errors
20:18:37,168 INFO Experiment.PerfCost-0e34: Processed 2140 samples out of 10000, 0 errors
20:18:47,940 INFO Experiment.PerfCost-0e34: Processed 2150 samples out of 10000, 0 errors
20:18:58,648 INFO Experiment.PerfCost-0e34: Processed 2160 samples out of 10000, 0 errors
20:19:09,346 INFO Experiment.PerfCost-0e34: Processed 2170 samples out of 10000, 0 errors
20:19:20,92 INFO Experiment.PerfCost-0e34: Processed 2180 samples out of 10000, 0 errors
20:19:30,803 INFO Experiment.PerfCost-0e34: Processed 2190 samples out of 10000, 0 errors
20:19:41,521 INFO Experiment.PerfCost-0e34: Processed 2200 samples out of 10000, 0 errors
20:19:52,263 INFO Experiment.PerfCost-0e34: Processed 2210 samples out of 10000, 0 errors
20:20:02,999 INFO Experiment.PerfCost-0e34: Processed 2220 samples out of 10000, 0 errors
20:20:13,795 INFO Experiment.PerfCost-0e34: Processed 2230 samples out of 10000, 0 errors
20:20:24,549 INFO Experiment.PerfCost-0e34: Processed 2240 samples out of 10000, 0 errors
20:20:35,283 INFO Experiment.PerfCost-0e34: Processed 2250 samples out of 10000, 0 errors
20:20:46,70 INFO Experiment.PerfCost-0e34: Processed 2260 samples out of 10000, 0 errors
20:20:56,813 INFO Experiment.PerfCost-0e34: Processed 2270 samples out of 10000, 0 errors
20:21:07,551 INFO Experiment.PerfCost-0e34: Processed 2280 samples out of 10000, 0 errors
20:21:18,283 INFO Experiment.PerfCost-0e34: Processed 2290 samples out of 10000, 0 errors
20:21:28,961 INFO Experiment.PerfCost-0e34: Processed 2300 samples out of 10000, 0 errors
20:21:39,639 INFO Experiment.PerfCost-0e34: Processed 2310 samples out of 10000, 0 errors
20:21:50,389 INFO Experiment.PerfCost-0e34: Processed 2320 samples out of 10000, 0 errors
20:22:01,150 INFO Experiment.PerfCost-0e34: Processed 2330 samples out of 10000, 0 errors
20:22:11,857 INFO Experiment.PerfCost-0e34: Processed 2340 samples out of 10000, 0 errors
20:22:22,598 INFO Experiment.PerfCost-0e34: Processed 2350 samples out of 10000, 0 errors
20:22:33,337 INFO Experiment.PerfCost-0e34: Processed 2360 samples out of 10000, 0 errors
20:22:44,92 INFO Experiment.PerfCost-0e34: Processed 2370 samples out of 10000, 0 errors
20:22:54,835 INFO Experiment.PerfCost-0e34: Processed 2380 samples out of 10000, 0 errors
20:23:05,560 INFO Experiment.PerfCost-0e34: Processed 2390 samples out of 10000, 0 errors
20:23:16,324 INFO Experiment.PerfCost-0e34: Processed 2400 samples out of 10000, 0 errors
